transcript,moduleColor,cluster_id
AT4G18100.1,black,1A
AT4G18220.1,black,1A
AT4G18440.1,black,1A
AT4G18570.1,black,1A
AT4G18730.1,black,1A
AT4G21180.1,black,1A
AT4G21750.2,black,1A
AT4G25740.1,black,1A
AT4G27000.1,black,1A
AT4G27090.1,black,1A
AT4G29350.1,black,1A
AT4G29390.1,black,1A
AT4G30950.1,black,1A
AT4G31700.1,black,1A
AT4G31985.1,black,1A
AT4G33680.1,black,1A
AT4G33865.1,black,1A
AT4G34290.1,black,1A
AT4G34350.1,black,1A
AT4G34670.1,black,1A
AT4G34740.1,black,1A
AT4G35850.1,black,1A
AT4G36130.1,black,1A
AT4G36220.1,black,1A
AT4G38680.1,black,1A
AT4G38840.1,black,1A
AT4G38890.1,black,1A
AT4G39300.2,black,1A
AT5G01370.1,black,1A
AT5G02260.1,black,1A
AT5G02280.1,black,1A
AT5G02450.1,black,1A
AT5G02515.1,black,1A
AT5G02870.1,black,1A
AT5G02960.1,black,1A
AT5G04280.1,black,1A
AT5G04800.2,black,1A
AT5G04860.1,black,1A
AT5G05180.1,black,1A
AT5G05860.1,black,1A
AT5G07090.1,black,1A
AT5G09510.1,black,1A
AT5G10250.2,black,1A
AT5G10360.1,black,1A
AT5G10360.2,black,1A
AT5G11200.1,black,1A
AT5G11710.3,black,1A
AT5G12470.1,black,1A
AT5G12840.4,black,1A
AT5G12980.1,black,1A
AT5G13090.1,black,1A
AT5G13630.1,black,1A
AT5G13850.1,black,1A
AT5G14060.2,black,1A
AT5G15200.1,black,1A
AT5G15210.1,black,1A
AT5G16030.2,black,1A
AT5G16130.1,black,1A
AT5G17670.1,black,1A
AT5G17710.2,black,1A
AT5G18380.1,black,1A
AT5G18570.1,black,1A
AT5G19180.1,black,1A
AT5G19510.1,black,1A
AT5G20040.1,black,1A
AT5G20190.1,black,1A
AT5G20290.1,black,1A
AT5G20840.1,black,1A
AT5G22390.1,black,1A
AT5G23740.1,black,1A
AT5G23900.1,black,1A
AT5G24120.1,black,1A
AT5G24420.1,black,1A
AT5G24630.4,black,1A
AT5G24650.1,black,1A
AT5G24930.1,black,1A
AT5G27360.1,black,1A
AT5G27470.1,black,1A
AT5G27700.1,black,1A
AT5G27770.1,black,1A
AT5G28060.1,black,1A
AT5G28750.1,black,1A
AT5G28770.3,black,1A
AT5G35530.1,black,1A
AT5G35970.1,black,1A
AT5G39530.1,black,1A
AT5G39740.1,black,1A
AT5G40770.1,black,1A
AT5G41520.1,black,1A
AT5G41970.1,black,1A
AT5G42110.1,black,1A
AT5G45775.2,black,1A
AT5G47700.1,black,1A
AT5G47930.1,black,1A
AT5G48490.1,black,1A
AT5G50370.1,black,1A
AT5G51110.1,black,1A
AT5G51150.1,black,1A
AT5G52650.1,black,1A
AT5G53860.2,black,1A
AT5G54300.1,black,1A
AT5G54580.1,black,1A
AT5G54900.1,black,1A
AT5G55510.1,black,1A
AT5G56210.1,black,1A
AT5G56670.1,black,1A
AT5G56980.1,black,1A
AT5G57290.1,black,1A
AT5G57890.1,black,1A
AT5G59720.1,black,1A
AT5G59730.1,black,1A
AT5G59732.1,black,1A
AT5G59850.1,black,1A
AT5G60390.1,black,1A
AT5G60670.1,black,1A
AT5G61170.1,black,1A
AT5G61270.1,black,1A
AT5G62290.1,black,1A
AT5G62300.1,black,1A
AT5G62300.2,black,1A
AT5G62430.1,black,1A
AT5G63050.1,black,1A
AT5G63380.1,black,1A
AT5G64050.1,black,1A
AT5G64080.1,black,1A
AT5G64140.1,black,1A
AT5G64840.1,black,1A
AT5G64850.1,black,1A
AT5G65490.1,black,1A
AT5G65730.1,black,1A
AT5G67030.1,black,1A
AT5G67420.2,black,1A
AT5G67600.1,black,1A
AT1G01170.1,blue,2A
AT1G01230.1,blue,2A
AT1G01240.1,blue,2A
AT1G01500.1,blue,2A
AT1G02270.1,blue,2A
AT1G02360.3,blue,2A
AT1G02660.1,blue,2A
AT1G03220.1,blue,2A
AT1G03230.1,blue,2A
AT1G03970.1,blue,2A
AT1G04630.1,blue,2A
AT1G04690.1,blue,2A
AT1G04780.1,blue,2A
AT1G04820.1,blue,2A
AT1G04960.1,blue,2A
AT1G05020.1,blue,2A
AT1G05150.1,blue,2A
AT1G05805.1,blue,2A
AT1G05927.1,blue,2A
AT1G05970.2,blue,2A
AT1G06060.1,blue,2A
AT1G06080.1,blue,2A
AT1G06200.1,blue,2A
AT1G07020.1,blue,2A
AT1G07170.1,blue,2A
AT1G07240.1,blue,2A
AT1G07250.1,blue,2A
AT1G07603.1,blue,2A
AT1G07753.1,blue,2A
AT1G08210.3,blue,2A
AT1G08315.1,blue,2A
AT1G08460.1,blue,2A
AT1G08510.1,blue,2A
AT1G08900.2,blue,2A
AT1G09010.1,blue,2A
AT1G09150.1,blue,2A
AT1G09363.1,blue,2A
AT1G09430.1,blue,2A
AT1G09570.1,blue,2A
AT1G09927.1,blue,2A
AT1G10060.5,blue,2A
AT1G10140.1,blue,2A
AT1G10610.3,blue,2A
AT1G10682.1,blue,2A
AT1G10990.1,blue,2A
AT1G11175.1,blue,2A
AT1G11260.1,blue,2A
AT1G11360.1,blue,2A
AT1G11480.1,blue,2A
AT1G11600.1,blue,2A
AT1G12090.1,blue,2A
AT1G12320.1,blue,2A
AT1G12450.1,blue,2A
AT1G12780.1,blue,2A
AT1G12790.1,blue,2A
AT1G12850.1,blue,2A
AT1G12970.1,blue,2A
AT1G12990.1,blue,2A
AT1G13060.1,blue,2A
AT1G13110.1,blue,2A
AT1G13260.1,blue,2A
AT1G13670.1,blue,2A
AT1G14205.1,blue,2A
AT1G14330.1,blue,2A
AT1G14400.1,blue,2A
AT1G14400.2,blue,2A
AT1G14740.1,blue,2A
AT1G14890.1,blue,2A
AT1G14920.1,blue,2A
AT1G15130.1,blue,2A
AT1G15400.1,blue,2A
AT1G15400.2,blue,2A
AT1G15530.1,blue,2A
AT1G15670.1,blue,2A
AT1G15920.2,blue,2A
AT1G16110.1,blue,2A
AT1G16240.1,blue,2A
AT1G16890.2,blue,2A
AT1G16920.1,blue,2A
AT1G17290.1,blue,2A
AT1G17430.1,blue,2A
AT1G18150.1,blue,2A
AT1G18160.1,blue,2A
AT1G18260.1,blue,2A
AT1G19310.1,blue,2A
AT1G19440.1,blue,2A
AT1G19730.1,blue,2A
AT1G19740.1,blue,2A
AT1G19770.1,blue,2A
AT1G20010.1,blue,2A
AT1G20190.1,blue,2A
AT1G20200.1,blue,2A
AT1G20620.7,blue,2A
AT1G20630.1,blue,2A
AT1G20890.1,blue,2A
AT1G21010.1,blue,2A
AT1G21270.1,blue,2A
AT1G21480.1,blue,2A
AT1G21540.1,blue,2A
AT1G21730.1,blue,2A
AT1G21830.1,blue,2A
AT1G22300.1,blue,2A
AT1G22360.1,blue,2A
AT1G22540.1,blue,2A
AT1G22570.1,blue,2A
AT1G22700.2,blue,2A
AT1G22740.1,blue,2A
AT1G22770.1,blue,2A
AT1G22790.2,blue,2A
AT1G22890.1,blue,2A
AT1G22985.1,blue,2A
AT1G23050.1,blue,2A
AT1G23960.1,blue,2A
AT1G24050.1,blue,2A
AT1G24440.1,blue,2A
AT1G24530.1,blue,2A
AT1G24610.1,blue,2A
AT1G25230.1,blue,2A
AT1G25480.1,blue,2A
AT1G26120.1,blue,2A
AT1G26620.1,blue,2A
AT1G26670.1,blue,2A
AT1G26800.1,blue,2A
AT1G27090.1,blue,2A
AT1G27150.1,blue,2A
AT1G27210.1,blue,2A
AT1G27290.1,blue,2A
AT1G27385.1,blue,2A
AT1G27930.1,blue,2A
AT1G28250.1,blue,2A
AT1G28260.1,blue,2A
AT1G28960.7,blue,2A
AT1G29070.1,blue,2A
AT1G29970.1,blue,2A
AT1G30090.1,blue,2A
AT1G31780.1,blue,2A
AT1G32100.1,blue,2A
AT1G32360.1,blue,2A
AT1G32400.1,blue,2A
AT1G32460.1,blue,2A
AT1G32700.1,blue,2A
AT1G32790.1,blue,2A
AT1G32990.1,blue,2A
AT1G33590.1,blue,2A
AT1G33600.1,blue,2A
AT1G34300.1,blue,2A
AT1G34430.1,blue,2A
AT1G34780.1,blue,2A
AT1G35620.1,blue,2A
AT1G35680.1,blue,2A
AT1G36050.2,blue,2A
AT1G36940.1,blue,2A
AT1G43130.1,blue,2A
AT1G43670.1,blue,2A
AT1G43700.1,blue,2A
AT1G44350.1,blue,2A
AT1G44770.1,blue,2A
AT1G45163.1,blue,2A
AT1G47056.1,blue,2A
AT1G47310.1,blue,2A
AT1G48350.1,blue,2A
AT1G49032.2,blue,2A
AT1G49170.1,blue,2A
AT1G49975.1,blue,2A
AT1G50010.1,blue,2A
AT1G50480.1,blue,2A
AT1G50490.1,blue,2A
AT1G50570.1,blue,2A
AT1G51510.1,blue,2A
AT1G51540.1,blue,2A
AT1G51550.1,blue,2A
AT1G51805.1,blue,2A
AT1G52190.1,blue,2A
AT1G52740.1,blue,2A
AT1G53210.1,blue,2A
AT1G53320.1,blue,2A
AT1G53400.1,blue,2A
AT1G53840.1,blue,2A
AT1G54060.1,blue,2A
AT1G54090.1,blue,2A
AT1G54100.1,blue,2A
AT1G54130.1,blue,2A
AT1G54580.1,blue,2A
AT1G55000.1,blue,2A
AT1G55140.1,blue,2A
AT1G55160.1,blue,2A
AT1G56010.2,blue,2A
AT1G56020.1,blue,2A
AT1G56200.1,blue,2A
AT1G56220.1,blue,2A
AT1G56600.1,blue,2A
AT1G59580.1,blue,2A
AT1G59830.1,blue,2A
AT1G59900.1,blue,2A
AT1G60140.1,blue,2A
AT1G61065.1,blue,2A
AT1G61670.2,blue,2A
AT1G62040.1,blue,2A
AT1G62810.1,blue,2A
AT1G63180.1,blue,2A
AT1G63240.1,blue,2A
AT1G63690.1,blue,2A
AT1G63800.1,blue,2A
AT1G64230.1,blue,2A
AT1G64460.1,blue,2A
AT1G64520.1,blue,2A
AT1G65310.1,blue,2A
AT1G65720.1,blue,2A
AT1G66180.1,blue,2A
AT1G66890.1,blue,2A
AT1G67080.1,blue,2A
AT1G67930.1,blue,2A
AT1G68000.1,blue,2A
AT1G68140.1,blue,2A
AT1G68490.1,blue,2A
AT1G68560.1,blue,2A
AT1G69360.1,blue,2A
AT1G69640.1,blue,2A
AT1G69690.1,blue,2A
AT1G69740.1,blue,2A
AT1G69830.1,blue,2A
AT1G69980.1,blue,2A
AT1G70330.1,blue,2A
AT1G70340.1,blue,2A
AT1G70520.1,blue,2A
AT1G70530.1,blue,2A
AT1G70820.1,blue,2A
AT1G71020.1,blue,2A
AT1G71697.1,blue,2A
AT1G71860.1,blue,2A
AT1G71990.1,blue,2A
AT1G72150.1,blue,2A
AT1G72160.1,blue,2A
AT1G72175.1,blue,2A
AT1G72360.2,blue,2A
AT1G72630.1,blue,2A
AT1G72790.1,blue,2A
AT1G73030.1,blue,2A
AT1G73250.1,blue,2A
AT1G73470.1,blue,2A
AT1G73530.1,blue,2A
AT1G73760.1,blue,2A
AT1G74370.1,blue,2A
AT1G74430.1,blue,2A
AT1G74640.1,blue,2A
AT1G74940.1,blue,2A
AT1G74970.1,blue,2A
AT1G75250.2,blue,2A
AT1G75350.1,blue,2A
AT1G75370.1,blue,2A
AT1G75380.3,blue,2A
AT1G75540.1,blue,2A
AT1G75780.1,blue,2A
AT1G75820.1,blue,2A
AT1G75880.2,blue,2A
AT1G75950.1,blue,2A
AT1G75960.1,blue,2A
AT1G76410.1,blue,2A
AT1G76490.1,blue,2A
AT1G76560.1,blue,2A
AT1G76860.1,blue,2A
AT1G77210.2,blue,2A
AT1G77350.1,blue,2A
AT1G78265.1,blue,2A
AT1G78270.1,blue,2A
AT1G78310.1,blue,2A
AT1G78460.1,blue,2A
AT1G78550.1,blue,2A
AT1G78590.1,blue,2A
AT1G78600.1,blue,2A
AT1G78630.1,blue,2A
AT1G78700.1,blue,2A
AT1G78830.1,blue,2A
AT1G78895.1,blue,2A
AT1G79590.1,blue,2A
AT1G79670.1,blue,2A
AT1G79700.2,blue,2A
AT1G79850.1,blue,2A
AT1G80460.1,blue,2A
AT1G80900.1,blue,2A
AT1G80920.1,blue,2A
AT2G01110.1,blue,2A
AT2G01340.1,blue,2A
AT2G02040.1,blue,2A
AT2G02180.1,blue,2A
AT2G02220.1,blue,2A
AT2G02590.1,blue,2A
AT2G02710.1,blue,2A
AT2G03310.1,blue,2A
AT2G03440.1,blue,2A
AT2G03470.1,blue,2A
AT2G04145.1,blue,2A
AT2G04410.1,blue,2A
AT2G04550.1,blue,2A
AT2G04690.2,blue,2A
AT2G05540.1,blue,2A
AT2G05990.1,blue,2A
AT2G05990.2,blue,2A
AT2G06850.1,blue,2A
AT2G07475.1,blue,2A
AT2G08780.1,blue,2A
AT2G14080.1,blue,2A
AT2G14835.1,blue,2A
AT2G15090.1,blue,2A
AT2G15230.1,blue,2A
AT2G15960.1,blue,2A
AT2G17380.1,blue,2A
AT2G17450.1,blue,2A
AT2G17880.1,blue,2A
AT2G17980.1,blue,2A
AT2G18270.1,blue,2A
AT2G18280.2,blue,2A
AT2G18350.1,blue,2A
AT2G18670.1,blue,2A
AT2G18710.1,blue,2A
AT2G18840.1,blue,2A
AT2G19790.1,blue,2A
AT2G19810.1,blue,2A
AT2G20120.1,blue,2A
AT2G20230.1,blue,2A
AT2G20260.1,blue,2A
AT2G20740.1,blue,2A
AT2G20770.1,blue,2A
AT2G20920.1,blue,2A
AT2G20930.1,blue,2A
AT2G21240.1,blue,2A
AT2G21380.1,blue,2A
AT2G21950.1,blue,2A
AT2G22425.2,blue,2A
AT2G22430.1,blue,2A
AT2G22540.1,blue,2A
AT2G22570.1,blue,2A
AT2G22840.1,blue,2A
AT2G22890.1,blue,2A
AT2G22980.1,blue,2A
AT2G22980.2,blue,2A
AT2G22980.5,blue,2A
AT2G23120.1,blue,2A
AT2G23310.2,blue,2A
AT2G23450.2,blue,2A
AT2G23770.1,blue,2A
AT2G23810.1,blue,2A
AT2G23840.1,blue,2A
AT2G24240.1,blue,2A
AT2G24765.1,blue,2A
AT2G25070.1,blue,2A
AT2G25200.1,blue,2A
AT2G25250.1,blue,2A
AT2G25310.1,blue,2A
AT2G25800.1,blue,2A
AT2G26530.1,blue,2A
AT2G26540.1,blue,2A
AT2G26640.1,blue,2A
AT2G26670.1,blue,2A
AT2G27030.1,blue,2A
AT2G27050.1,blue,2A
AT2G27385.1,blue,2A
AT2G27600.1,blue,2A
AT2G27830.1,blue,2A
AT2G27860.1,blue,2A
AT2G27960.1,blue,2A
AT2G28910.1,blue,2A
AT2G28930.2,blue,2A
AT2G29080.1,blue,2A
AT2G29170.1,blue,2A
AT2G29290.2,blue,2A
AT2G29550.1,blue,2A
AT2G29690.1,blue,2A
AT2G30050.1,blue,2A
AT2G30230.1,blue,2A
AT2G30424.1,blue,2A
AT2G30930.1,blue,2A
AT2G30980.1,blue,2A
AT2G32080.1,blue,2A
AT2G32870.1,blue,2A
AT2G33120.1,blue,2A
AT2G33800.1,blue,2A
AT2G33810.1,blue,2A
AT2G33835.1,blue,2A
AT2G34590.1,blue,2A
AT2G34690.1,blue,2A
AT2G35050.1,blue,2A
AT2G35320.1,blue,2A
AT2G35690.1,blue,2A
AT2G35880.1,blue,2A
AT2G35900.1,blue,2A
AT2G36060.1,blue,2A
AT2G36130.1,blue,2A
AT2G36220.1,blue,2A
AT2G36310.1,blue,2A
AT2G36320.1,blue,2A
AT2G36340.1,blue,2A
AT2G36350.1,blue,2A
AT2G36400.1,blue,2A
AT2G36900.1,blue,2A
AT2G37120.1,blue,2A
AT2G37660.1,blue,2A
AT2G37678.1,blue,2A
AT2G37975.2,blue,2A
AT2G38000.1,blue,2A
AT2G38050.1,blue,2A
AT2G38120.1,blue,2A
AT2G38120.2,blue,2A
AT2G38140.1,blue,2A
AT2G38400.1,blue,2A
AT2G38700.1,blue,2A
AT2G39180.1,blue,2A
AT2G39400.1,blue,2A
AT2G39805.1,blue,2A
AT2G40000.1,blue,2A
AT2G40420.1,blue,2A
AT2G40620.1,blue,2A
AT2G40815.1,blue,2A
AT2G40970.1,blue,2A
AT2G41710.2,blue,2A
AT2G41750.1,blue,2A
AT2G42400.1,blue,2A
AT2G42870.1,blue,2A
AT2G43020.1,blue,2A
AT2G43030.1,blue,2A
AT2G43050.1,blue,2A
AT2G43060.1,blue,2A
AT2G43610.1,blue,2A
AT2G43790.1,blue,2A
AT2G44100.1,blue,2A
AT2G44490.1,blue,2A
AT2G44500.1,blue,2A
AT2G44730.1,blue,2A
AT2G44740.1,blue,2A
AT2G44790.1,blue,2A
AT2G45050.1,blue,2A
AT2G45140.1,blue,2A
AT2G45170.1,blue,2A
AT2G45590.1,blue,2A
AT2G45660.1,blue,2A
AT2G45980.1,blue,2A
AT2G46170.1,blue,2A
AT2G46260.1,blue,2A
AT2G46490.1,blue,2A
AT2G46550.1,blue,2A
AT2G46900.1,blue,2A
AT2G47170.1,blue,2A
AT2G47700.1,blue,2A
AT3G01150.1,blue,2A
AT3G01490.1,blue,2A
AT3G01520.1,blue,2A
AT3G01895.1,blue,2A
AT3G02460.1,blue,2A
AT3G02550.1,blue,2A
AT3G02630.1,blue,2A
AT3G02700.1,blue,2A
AT3G02720.1,blue,2A
AT3G03145.1,blue,2A
AT3G03150.1,blue,2A
AT3G03180.1,blue,2A
AT3G03870.2,blue,2A
AT3G04090.1,blue,2A
AT3G04880.1,blue,2A
AT3G05020.1,blue,2A
AT3G05130.1,blue,2A
AT3G05160.1,blue,2A
AT3G05200.1,blue,2A
AT3G05530.1,blue,2A
AT3G05545.1,blue,2A
AT3G05730.1,blue,2A
AT3G05940.1,blue,2A
AT3G05945.1,blue,2A
AT3G06170.1,blue,2A
AT3G06500.1,blue,2A
AT3G06780.1,blue,2A
AT3G06868.1,blue,2A
AT3G06870.1,blue,2A
AT3G07010.1,blue,2A
AT3G07310.1,blue,2A
AT3G07315.1,blue,2A
AT3G07570.1,blue,2A
AT3G07680.1,blue,2A
AT3G07790.1,blue,2A
AT3G07880.1,blue,2A
AT3G08030.1,blue,2A
AT3G08510.1,blue,2A
AT3G08550.1,blue,2A
AT3G08650.1,blue,2A
AT3G08670.1,blue,2A
AT3G09000.1,blue,2A
AT3G09030.1,blue,2A
AT3G09275.1,blue,2A
AT3G09300.1,blue,2A
AT3G09320.1,blue,2A
AT3G09740.1,blue,2A
AT3G09770.1,blue,2A
AT3G09850.1,blue,2A
AT3G10020.1,blue,2A
AT3G10630.1,blue,2A
AT3G10740.1,blue,2A
AT3G10770.1,blue,2A
AT3G10800.1,blue,2A
AT3G11100.1,blue,2A
AT3G11730.1,blue,2A
AT3G11780.1,blue,2A
AT3G11800.1,blue,2A
AT3G12290.1,blue,2A
AT3G12360.1,blue,2A
AT3G12510.1,blue,2A
AT3G12610.1,blue,2A
AT3G12710.1,blue,2A
AT3G13120.1,blue,2A
AT3G13200.1,blue,2A
AT3G13550.1,blue,2A
AT3G13690.1,blue,2A
AT3G13750.1,blue,2A
AT3G13772.1,blue,2A
AT3G14070.1,blue,2A
AT3G14090.1,blue,2A
AT3G14110.1,blue,2A
AT3G14290.1,blue,2A
AT3G14595.1,blue,2A
AT3G15040.1,blue,2A
AT3G15190.1,blue,2A
AT3G15290.1,blue,2A
AT3G15358.1,blue,2A
AT3G15570.1,blue,2A
AT3G15580.1,blue,2A
AT3G15610.1,blue,2A
AT3G15760.1,blue,2A
AT3G16857.2,blue,2A
AT3G17000.1,blue,2A
AT3G17100.2,blue,2A
AT3G17810.1,blue,2A
AT3G18030.1,blue,2A
AT3G18035.2,blue,2A
AT3G18050.1,blue,2A
AT3G18060.1,blue,2A
AT3G18430.1,blue,2A
AT3G18535.1,blue,2A
AT3G18770.1,blue,2A
AT3G18820.1,blue,2A
AT3G19400.1,blue,2A
AT3G19420.1,blue,2A
AT3G19553.1,blue,2A
AT3G19820.2,blue,2A
